Timestamp           | RAM Used(GB) | RAM Total(GB) | GPU Mem Used(KB) | GPU Mem Total(KB) | GPU Util(%) | CPU Util(%)
Job ID:        29769
------------------------------------------------------------------------------------------------------
Start Time:    Tue Dec  3 16:05:28 CST 2024
CPU Cores:     8
2024-12-03 18:11:09 |       335.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:12:09 |       338.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        3.0
2024-12-03 18:13:09 |       335.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        3.1
2024-12-03 18:14:10 |       337.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:15:10 |       340.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:16:10 |       339.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:17:11 |       342.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:18:11 |       340.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        3.5
2024-12-03 18:19:11 |       343.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:20:12 |       345.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:21:12 |       342.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:22:12 |       345.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:23:13 |       348.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.4
2024-12-03 18:24:13 |       346.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.7
2024-12-03 18:25:13 |       349.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.7
2024-12-03 18:26:14 |       347.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:27:14 |       350.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:28:14 |       347.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:29:15 |       351.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        4.0
2024-12-03 18:30:15 |       352.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.4
2024-12-03 18:31:15 |       351.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:32:16 |       353.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:33:16 |       351.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:34:16 |       354.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        4.0
2024-12-03 18:35:16 |       194.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        3.2
2024-12-03 18:36:17 |       230.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:37:17 |       148.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:38:17 |       145.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:39:18 |       148.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        4.7
2024-12-03 18:40:19 |       150.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        4.8
2024-12-03 18:41:19 |       147.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        4.7
2024-12-03 18:42:20 |       149.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:43:20 |       146.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
=== Final Status ===
End Time:      Tue Dec  3 18:43:34 CST 2024
Final CPU Usage: 2.2%
