Timestamp           | RAM Used(GB) | RAM Total(GB) | GPU Mem Used(GB) | GPU Mem Total(GB) | GPU Util(%) | CPU Util(%)
Start Time:    Mon Nov 25 12:39:24 CST 2024
CPU Cores:     1
------------------------------------------------------------------------------------------------------
2024-11-25 13:58:59 |       273.00 |      1007.00 |        22262.00 |        40536.00 |       56.0 |        1.9
2024-11-25 13:59:59 |       276.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        1.5
2024-11-25 14:01:00 |       275.00 |      1007.00 |        22262.00 |        40536.00 |       69.0 |        1.5
2024-11-25 14:02:00 |       278.00 |      1007.00 |        22262.00 |        40536.00 |       94.0 |        1.5
2024-11-25 14:03:01 |       276.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        1.9
2024-11-25 14:04:01 |       279.00 |      1007.00 |        22262.00 |        40536.00 |       75.0 |        1.4
2024-11-25 14:05:02 |       277.00 |      1007.00 |        22262.00 |        40536.00 |       68.0 |        1.5
2024-11-25 14:06:02 |       280.00 |      1007.00 |        22262.00 |        40536.00 |       70.0 |        1.5
2024-11-25 14:07:02 |       283.00 |      1007.00 |        22262.00 |        40536.00 |       69.0 |        1.5
2024-11-25 14:08:03 |       282.00 |      1007.00 |        22262.00 |        40536.00 |       70.0 |        1.5
2024-11-25 14:09:03 |       285.00 |      1007.00 |        22262.00 |        40536.00 |       79.0 |        1.6
2024-11-25 14:10:04 |       298.00 |      1007.00 |        22262.00 |        40536.00 |        0.0 |        1.6
2024-11-25 14:11:04 |       379.00 |      1007.00 |        22262.00 |        40536.00 |        0.0 |        1.4
2024-11-25 14:12:05 |       274.00 |      1007.00 |        22262.00 |        40536.00 |        0.0 |        1.5
2024-11-25 14:13:05 |       272.00 |      1007.00 |        22262.00 |        40536.00 |        0.0 |        1.4
2024-11-25 14:14:06 |       274.00 |      1007.00 |        22262.00 |        40536.00 |        0.0 |        1.7
2024-11-25 14:15:06 |       270.00 |      1007.00 |        22262.00 |        40536.00 |        0.0 |        1.7
2024-11-25 14:16:07 |       272.00 |      1007.00 |        22262.00 |        40536.00 |        0.0 |        1.5
=== Final Status ===
End Time:      Mon Nov 25 14:16:52 CST 2024
Final CPU Usage: 1%
